,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,rating
48673,France,"This is a fragrant, floral wine, with a smooth touch of vanilla. It has a fruity, ripe feel, and it shows fresh, crisp, apple-like acidity. This is a ready-to-drink, balanced Chardonnay.",,86,27.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Domaine Jessiaume 2010  Bourgogne,Chardonnay,Domaine Jessiaume,Low
33691,France,"This blend of six local Corsican varieties is the top wine from the Clos Venturi estate. Its dark color and blackberry perfume promises a rich, complex palate. It's serious—densely packed with both tannins and opulent fruit. Drink from 2019.",Chiesa Nera,93,,France Other,Vin de France,,Roger Voss,@vossroger,Clos Venturi 2014 Chiesa Nera Red (Vin de France),Red Blend,Clos Venturi,High
54211,France,"From a small parcel of vines in the Gaudou vineyard, this impressive wine is rich and still very young. Matured in egg-shaped tanks, it is dense with fruit as much as tannin, poducing a spicy wine full of black fruits and a dry core that is already well integrated. Drink from 2019.",Le Sang de la Vigne Signé Benjamin Cooker,92,21.0,Southwest France,Cahors,,Roger Voss,@vossroger,Château de Gaudou 2015 Le Sang de la Vigne Signé Benjamin Cooker Malbec (Cahors),Malbec,Château de Gaudou,High
75965,France,A certain creamy nuttiness is suggested on the nose. The sunniness of 2015 is expressed by a generous mirabelle ripeness. The body still is very slight and subtle and all about a graceful texture. There's a lovely touch of lemon freshness on the finish.,Trois Châteaux 'E',91,27.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Kuentz-Bas 2015 Trois Châteaux 'E' Sylvaner (Alsace),Sylvaner,Kuentz-Bas,High
19388,Italy,"Aged in large oak casks for six long years, Quintarelli's exceptional Valpolicella blend—which has tiny percentages of Cabernet Sauvignon, Nebbiolo, Croatina and Sangiovese—shows ethereal tones of licorice, dried ginger, wild berry and spice. The texture is smooth and polished, showing a touch of chopped mint.",,92,73.0,Veneto,Valpolicella Classico Superiore,,,,Quintarelli 2003  Valpolicella Classico Superiore,"Corvina, Rondinella, Molinara",Quintarelli,High
51763,US,"Gamy aromas of raw lamb, leather and beef jerky meet with sweet thyme, rose, vanilla and lilac. The palate of this obscure grape shows lots of iron and raw beef notes, with tangy red cherry, red plum and strong acidity.",Matela Le Bon Climat Vineyard,91,40.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Bevela 2010 Matela Le Bon Climat Vineyard Teroldego (Santa Barbara County),Teroldego,Bevela,High
81277,Argentina,"With ripe yet oaky aromas, this is a basic Malbec to enjoy with simple foods. The palate is juicy but comes with a buttery, creamy feel. As for flavors, look for buttery oak riding on top of modest, quick-hitting berry. On the finish, it's oaky more than fruity.",Organica,86,11.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Santa Julia 2012 Organica Malbec (Mendoza),Malbec,Santa Julia,Low
36958,Italy,"This elegant wine opens with rich concentration, an inky black appearance and intense aromas of blackberry, cherry liqueur and rich mocha chocolate. It's soft, well defined and very long on the finish, which bears spice and oak-derived flavors. Let it age for 3–4 more years.",Cagiòlo,91,,Central Italy,Montepulciano d'Abruzzo,,,,Cantina Tollo 2007 Cagiòlo  (Montepulciano d'Abruzzo),Montepulciano,Cantina Tollo,High
51883,US,"This wine is two-thirds Marsanne and one-third Roussanne, both extreme rarities in this appellation. Aromas of pear, peach and fresh flower are followed by dry lightly styled stone-fruit flavors. The concentration doesn't seem all there but it still brings appeal. Try it at the dinner table.",Northern,87,32.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Rôtie Cellars 2016 Northern White (Walla Walla Valley (WA)),Rhône-style White Blend,Rôtie Cellars,Low
33410,France,"This is a fine wood-aged blend of 57% Cabernet Sauvignon with Merlot and Petit Verdot. It is darkly colored, dense and with great ripe tannins. One of several Bordeaux properties owned by the Thiénot family, this estate occupies a fine, gravel outcrop in the Pessac-Léognan region, just south of Bordeaux. Drink from 2024.",,91,39.0,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château la Garde 2014  Pessac-Léognan,Bordeaux-style Red Blend,Château la Garde,High
68483,Austria,"Something floral and soft hovers above the fruit. There also is the rich hazel presence of fine oak. The fruit is beautifully luminous: very aromatic red cherry is drenched in the soft vanilla of oak. The tannins are silky but dense. White pepper shimmers everywhere, supported by the inherent freshness of the palate. This still needs time. Drink 2020–2030.",Frauenfeld,93,40.0,Thermenregion,,,Anne Krebiehl MW,@AnneInVino,Johanneshof Reinisch 2014 Frauenfeld St. Laurent (Thermenregion),St. Laurent,Johanneshof Reinisch,High
82853,US,"La Fenetre scores with this lush, forward Pinot Noir that offers enough flavor to please almost anybody. It's enormously rich in raspberry and cherry pie filling, roasted almond granola, vanilla cream, buttered cinnamon toast and sandalwood flavors that are so delicious, they're sweet, except that the wine finishes dry. Great with lamb. Drink now.",Le Bon Climat Vineyard,91,59.0,California,Santa Maria Valley,Central Coast,,,La Fenêtre 2008 Le Bon Climat Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,La Fenêtre,High
34300,France,"This Premier Cru vineyard is on a high point in the village. It has produced a rich fruity wine with great structure and dense tannins. Bold red fruits are dominant with the acidity in a supporting role. The wine is rich, full and needing to age. Drink this wine from 2018.",Château de Chamirey Clos l'Evêque Premier Cru,92,50.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Domaines Devillard 2014 Château de Chamirey Clos l'Evêque Premier Cru  (Mercurey),Pinot Noir,Domaines Devillard,High
41559,France,"Ripe and full of raspberries, this has a structure well cushioned by the ripe texture. The wine is packed with acidity while having a sense of floral, aromatic fruitiness. From four different parcels in premier cru, this seductive wine will also age well. Drink from 2018.",Premier Cru,93,113.0,Burgundy,Chambolle-Musigny,,Roger Voss,@vossroger,Joseph Drouhin 2012 Premier Cru  (Chambolle-Musigny),Pinot Noir,Joseph Drouhin,High
76535,US,"Some sandalwood incense elevates the nose. In the mouth there is little varietal character, though the Sangiovese is unblended. Tart, chewy, acidic and light, with plenty of acid.",,84,16.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,RiverAerie 2008 Sangiovese (Columbia Valley (WA)),Sangiovese,RiverAerie,Low
6865,US,"Burly in black fruit, leather and cigar, this is a smoky, full-bodied and powerful wine, richly textured in toasted oak and supple tannin. Blackberry and black currant play off each other to provide a juicy core of consistency. Drink now through 2020.",Diamond Selection,91,80.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Rombauer 2012 Diamond Selection Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Rombauer,High
22658,US,"After starting out quite reduced on first pour, this wine reveals slightly sweet black-fruit flavors. A light grip of tannins provide support.",,85,12.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Drumheller 2014 Merlot (Columbia Valley (WA)),Merlot,Drumheller,Low
50425,France,"From a biodynamic vineyard in the heart of Sancerre, this wine is tight, mineral-driven and very young, well balanced between herbal and citrus flavors. These are lifted and filled out with the ripe Rocha pear flavors that give an extra juicy element. The wine will age well and will be better after 2018.",Guigne-Chèvres,92,65.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Domaine Vacheron 2014 Guigne-Chèvres  (Sancerre),Sauvignon Blanc,Domaine Vacheron,High
79729,South Africa,"Luscious aromas of black cherry, raspberry and coffee are followed by a balanced wave of mocha, plums, vanilla and tobacco on the palate. Spicy with ageable tannins, the wine would go well with roasted meat, beef or stews.",Estate Wine,91,35.0,Stellenbosch,,,Susan Kostrzewa,@suskostrzewa,Kanonkop 2004 Estate Wine Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Kanonkop,High
50836,France,"While the wine's surface is smooth, underneath there are firm, dry tannins that offer potential for power. New wood flavors are still prominent, indicating that this is still a wine in development.",,91,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Sanctus 2009  Saint-Émilion,Bordeaux-style Red Blend,Sanctus,High
29216,US,"Girard's recent Petite Sirahs have been great, really defining a Napa approach to the variety, and their 2010 is right up there. It's fairly high in alcohol, but there's no trace of overripeness. You'll find delicious blackberry jam, black currant, grilled bacon and black pepper flavors that finish dry, spicy and above all, satisfying. Wonderful now, but it should easily negotiate the next 10 years in the bottle.",,92,28.0,California,Napa Valley,Napa,,,Girard 2010 Petite Sirah (Napa Valley),Petite Sirah,Girard,High
82919,France,"This is ripe, full bodied and delicious, with a red fruit flavor. It has all the juicy fruitiness that is associated with Beaujolais. Drink now, even slightly chilled.",,86,11.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Château de Pizay 2011  Beaujolais,Gamay,Château de Pizay,Low
18220,US,"Kana's Workingman's Red has turned into a southern Rhône style blend of six grapes, the only outlier being a splash of Tempranillo. Toasty, round and easy-drinking, it's a good, all-purpose barbecue red, with a smoky, espresso-scented finish.",Workingman's Red,86,15.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Kana 2009 Workingman's Red Red (Columbia Valley (WA)),Rhône-style Red Blend,Kana,Low
39891,Italy,"Mormoreto is an exceptional blend of Cabernet Sauvignon, Merlot and Cabernet Franc that produces a sensual, silky wine with gorgeous concentration and intense shadings of blueberry, cola, root beer, clove, cherry, chocolate fudge and moist earth. It boasts great complexity and a long, spice-driven finish.",Mormoreto,93,54.0,Tuscany,Toscana,,,,Castello di Nipozzano 2004 Mormoreto Red (Toscana),Red Blend,Castello di Nipozzano,High
40879,US,"This unusual rosé is all Pinot Gris, picked for thick skins, chewy tannins, high acidity, and given a 36-hour cold soak prior to fermentation. It's a pale salmon/copper shade, full-bodied and juicy, with fruit flavors of peach and citrus. Highlights of hibiscus tea and floral aromatics contribute further complexity.",Aurosa,91,28.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Antiquum Farm 2015 Aurosa Pinot Gris (Willamette Valley),Pinot Gris,Antiquum Farm,High
48395,US,"Vanilla and cream, cocoa, and herbs really jazz up the medium-berry nose. Dark sweet fruit in the mouth, with some earth and cedar for substance. Bitter chocolate and espresso add backbone to the medium-length finish. Good and balanced, and not bad for current consumption.",,91,40.0,California,Napa Valley,Napa,,,Chimney Rock 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Chimney Rock,High
73989,US,"This is a simple, country-style Pinot Noir, dry and modest in berry fruit. It's not bad, just not particularly interesting. But for the price, it will get you through.",,84,12.0,California,Santa Barbara County,Central Coast,,,SeaGlass 2010 Pinot Noir (Santa Barbara County),Pinot Noir,SeaGlass,Low
75310,Australia,"Dark amber in color, with some greening evident at the rim, this Tokay features aromas of scorched coffee and Guinness stout-like flavors, but is also sweet, with hints of molasses and raisins. It's a solid effort, representative of its classification.",Grand Muscadelle,91,140.0,Victoria,Rutherglen,,Joe Czerwinski,@JoeCz,Chambers Rosewood Vineyards NV Grand Muscadelle Tokay (Rutherglen),Tokay,Chambers Rosewood Vineyards,High
50611,US,"So ripe and high in alcohol, it veers in to raisins and prunes. It's dry and tannic, with the blackberry flavors veering into bacon. Give it an hour or two in the decanter, and drink up.",Paso Bordo Reserve,85,39.0,California,Paso Robles,Central Coast,,,Cerro Prieto 2009 Paso Bordo Reserve Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Cerro Prieto,Low
62373,US,"There is a bounty of herbally inflected red fruit on the nose of this bottling, with hints of tea, mushroom and pepper, which make for an intriguing but somewhat odd expression. The herbal flavors on the palate are reminiscent of chewing on bay leaves.",Shire View Vineyard,84,72.0,California,Santa Clara Valley,Central Coast,Matt Kettmann,@mattkettmann,Castillo's Hillside Shire 2012 Shire View Vineyard Cabernet Sauvignon (Santa Clara Valley),Cabernet Sauvignon,Castillo's Hillside Shire,Low
83420,France,"The traditional aging on the lees has given this wine its rich floral character. It is a ripe wine, with apple fruit and a smooth, creamy texture. The wine is ready to drink.",Sur Lie,86,11.0,Loire Valley,Muscadet Sèvre et Maine,,Roger Voss,@vossroger,Lacheteau 2015 Sur Lie  (Muscadet Sèvre et Maine),Melon,Lacheteau,Low
66458,Austria,"Judging by the success of this wine, St. Laurent seems to be this winery's signature grape. It is big, bold and packed with tannins as well as dense fruit. It's a solid- and dark-textured wine. Not yet ready to drink, this is worth aging for a few more years.",Ried Holzspur Grande Reserve,91,90.0,Thermenregion,,,Roger Voss,@vossroger,Johanneshof Reinisch 2007 Ried Holzspur Grande Reserve St. Laurent (Thermenregion),St. Laurent,Johanneshof Reinisch,High
575,Italy,"A landmark wine for those who love Italian sparklers, this shows loads of ripe apricot, melon and honey notes, with toasted nut and baked bread hints in the background. There are also touches of caramel and butterscotch that help move the wine's thick and opulent texture across the palate. It ends with refreshing acidity and tonic perlage.",Giulio Ferrari Riserva del Fondatore,92,85.0,Northeastern Italy,Trento,,,,Ferrari 2001 Giulio Ferrari Riserva del Fondatore Chardonnay (Trento),Chardonnay,Ferrari,High
9349,US,"Tart and nervy, this cool-climate Cabernet Sauvignon bristles with fresh cranberry and sour-cherry flavors. Concentrated with red fruit yet touched with complexities of granite and steel, it's an elegant choice for lighter chicken or duck dishes.",Reserve,87,37.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Sheldrake Point 2012 Reserve Cabernet Sauvignon (Finger Lakes),Cabernet Sauvignon,Sheldrake Point,Low
44006,US,"Soft in texture, with pie-filling flavors of cherries, raspberries and cola, this Pinot is dry and silky. Oak adds smoky notes.",Moore Vineyard,84,30.0,California,San Luis Obispo County,Central Coast,,,Stephen's 2005 Moore Vineyard Pinot Noir (San Luis Obispo County),Pinot Noir,Stephen's,Low
10908,US,"While subtle on the nose with hints of chamomile and pressed apple aroma, this ripe, full-bodied Chardonnay is concentrated with apple and lemon flavors. It's round in mouthfeel but marked with bright acidity that lends steely precision to the finish.",,87,16.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Coffee Pot Cellars 2010 Chardonnay (North Fork of Long Island),Chardonnay,Coffee Pot Cellars,Low
39697,France,"Juicy black currants and red berries are masked by the tannins at present, but they will fill out this wine, leaving a fresh, bright character. Drink from 2018.",,87,,Bordeaux,Pessac-Léognan,,Roger Voss,@vossroger,Château d'Alix 2013  Pessac-Léognan,Bordeaux-style Red Blend,Château d'Alix,Low
74792,Italy,"Subdued aromas of violet, bilberry and mountain herb guide the nose while the easygoing palate offers fleshy black cherry, clove and tangerine zest. Soft, round tannins make this perfect for everyday enjoyment so drink soon.",,87,15.0,Northeastern Italy,Alto Adige,,Kerin O’Keefe,@kerinokeefe,Erste Neue 2013 Lagrein (Alto Adige),Lagrein,Erste Neue,Low
30043,Germany,"Touches of exotic spice and crushed minerals lend complexity to sun-kissed peach and melon flavors in this medium-sweet Riesling. It's punchy and spry, full of high-toned acidity and lift, but finishes long, lean and elegant. It's youthful and exuberant now, but should continue to meld beautifully through at least 2027.",Wehlener Sonnenuhr Spätlese,94,34.0,Mosel,,,Anna Lee C. Iijima,,Dr. Loosen 2014 Wehlener Sonnenuhr Spätlese Riesling (Mosel),Riesling,Dr. Loosen,High
15830,US,"Bright aromas of freshly sliced pear, apple and spice are followed by lightly creamy fruit flavors that paint around the edges. It's a well-made wine but the middle seems missing.",Luck Dragon,87,24.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Longship 2016 Luck Dragon Chardonnay (Columbia Valley (WA)),Chardonnay,Longship,Low
67867,Australia,"The wine looks a touch amber-like at the rim, with aromas of butterscotch and cracked pepper. The flavors carry a bruised-fruit character, and the wine seems a bit flabby on the palate. Not up to this project's usual high standards.",Lieu Dit Malakoff,82,30.0,Victoria,Pyrenees,,Joe Czerwinski,@JoeCz,Domaine Terlato & Chapoutier 2009 Lieu Dit Malakoff Viognier (Pyrenees),Viognier,Domaine Terlato & Chapoutier,Low
68459,US,"Winemaker Kit Singh has tweaked this Right Bank-style blend, but it remains solidly anchored in 49% Merlot and 29% Cabernet Franc, with a small amount of Cabernet Sauvignon and Petit Verdot. Tart, young raspberry and pomegranate fruit flavors are set against vividly crisp mineral notes. Tannins are supple and proportionate and the flavors beautifully defined. On the finish, a delightful detail of carpaccio appears.",Cuvée Arlette,94,50.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Lauren Ashton Cellars 2011 Cuvée Arlette Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Lauren Ashton Cellars,High
4695,US,"Pretty rich and full-bodied for Pinot Noir, this is a big wine that grabs your attention. It floods the mouth with flavors of sour cherry candy and spicy persimmons, with a rich overlay of toasty oak and exotic spices. The acidity lends a nice bite. It's too young to appreciate now, but it should gain traction after 2014.",Unforgettable,92,66.0,California,Anderson Valley,,,,Maggy Hawk 2009 Unforgettable Pinot Noir (Anderson Valley),Pinot Noir,Maggy Hawk,High
73388,Portugal,"Anselmo Mendes from granite Vinho Verde and Diogo Lopes from clay-soil Lisboa brought together the fruit of their harvests to make one limited-edition Alvarinho wine. The result: a ripe, warm and creamy character with wonderful fresh acidity. Drink this refreshing, ripe wine now.",2 2 1,91,20.0,Portuguese Table Wine,,,Roger Voss,@vossroger,Adega Mãe 2015 2 2 1 Alvarinho (Portuguese Table Wine),Alvarinho,Adega Mãe,High
44914,US,"Here's a soft, high alcohol, slightly hot Zin, lacking in acidity. What it lacks in structure, it more than makes up for in sheer, exuberant taste. Floods the mouth with raspberries, cherries, dried fruits, dates, bacon, prosciutto, vanilla, smoky sandalwood and all sorts of other umami flavors.",,87,24.0,California,Paso Robles,Central Coast,,,Rangeland 2007 Zinfandel (Paso Robles),Zinfandel,Rangeland,Low
24476,Hungary,"Garnet in the glass, this 100% Kékfrankos has aromas of dark chocolate, black cherry, black plum and espresso. In the mouth, there are silky tannins and flavors of cherry, blackberry and nutmeg.",Grand Bleu Nagy Eged Grand Cru,91,70.0,Eger,,,Jeff Jenssen,@worldwineguys,Kovács Nimród 2011 Grand Bleu Nagy Eged Grand Cru Kékfrankos (Eger),Kekfrankos,Kovács Nimród,High
52808,US,"Fragrant and inviting in dark cherry, raspberry and cola spice, this medium-weight Pinot Noir is lush and meaty. Bright flavors veer from dark cherry to raspberry, with a pronounced lift of earth and herb. The wine is layered, beautifully textured and long in the finish.",Hallberg Vineyard,91,44.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Joseph Jewell 2011 Hallberg Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Joseph Jewell,High
50030,US,"This has a pruney character in keeping with the high 15.4% alcohol. It's dark and liquorous, beyond ripe, and finishes hot, with chalky, earthy tannins.",Double Barrel Red Blend,85,20.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Sweet Valley Wines 2007 Double Barrel Red Blend Red (Walla Walla Valley (WA)),Red Blend,Sweet Valley Wines,Low
28128,South Africa,"This blend of 52% Cabernet Sauvignon, 16% Malbec, 14% Merlot, 13% Petit Verdot and 5% Cabernet Franc offers a minty character that prevails among the intense black plum and berry aromas and flavors. Well-integrated, with a decadent crushed velvet texture and a long oak-kissed finish reminiscent of dark chocolate-covered cherries.",Grand Classique,91,20.0,Paarl,,,Lauren Buzzeo,@laurbuzz,Glen Carlou 2008 Grand Classique Red (Paarl),Bordeaux-style Red Blend,Glen Carlou,High
52885,France,"Bright and fruity, this crisp wine also has a rich undercurrent. Toast and vanilla flavors give a round character to this tangy, fresh and ripe wine. Drink now.",Terres Noires,87,20.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Domaine des Deux Roches 2013 Terres Noires  (Saint-Véran),Chardonnay,Domaine des Deux Roches,Low
36423,Austria,"This is a fragrant, brightly perfumed wine that has a wonderfully crisp fruitiness. It is just crying out to be enjoyed as a fresh, lively apéritif with its tangy texture and pleasantly acidic finish. Screwcap.",Steinriegl,86,,Südsteiermark,,,Roger Voss,@vossroger,Wohlmuth 2012 Steinriegl Gelber Muskateller (Südsteiermark),Gelber Muskateller,Wohlmuth,Low
47113,France,"This sleeping beauty of a chateau is showing signs of awakening. With its great terroir, it deserves to make wine like this 2005, dense, perfumed, very ripe, powered with sweet, purple fruit and juicy flavors. It will develop relatively quickly, but then should age over many years.",,93,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Trottevieille 2005  Saint-Émilion,Bordeaux-style Red Blend,Château Trottevieille,High
32874,US,"Uncomplicated and tasty, this is a nice Cabernet for everyday purposes. It's dry and silky, with pleasant cherry, blackberry, mocha and cedar flavors.",,84,9.0,California,California,California Other,,,Fetzer 2008 Cabernet Sauvignon (California),Cabernet Sauvignon,Fetzer,Low
44081,France,"This wine has classic smoky fruit, with a delicious layer of ripe raspberry flavors. It is is stalky, although that is a function of youth rather than underripe fruit. It needs time to fill out, so drink from mid-2016. Think about serving it lightly chilled.",L'Elegante,87,25.0,Loire Valley,Saint-Nicolas-de-Bourgueil,,Roger Voss,@vossroger,Vignoble de la Jarnoterie 2014 L'Elegante  (Saint-Nicolas-de-Bourgueil),Cabernet Franc,Vignoble de la Jarnoterie,Low
40017,France,"The nose is still shy but already tells of tender sweetness. The palate has a rounded earthy smoky element that grounds the luscious generous fruit of dried pear and supersweet Reine Claude and mirabelle plums. The sweetness of this SGN is balanced and almost fresh, but the intriguing thing is a kind of smoky, dark and mysterious core of stone.",Clos Saint-Théobald Grand Cru Rangen Sélection de Grains Nobles Larme de Lave,95,90.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Schoffit 2007 Clos Saint-Théobald Grand Cru Rangen Sélection de Grains Nobles Larme de Lave Pinot Gris (Alsace),Pinot Gris,Domaine Schoffit,High
52140,France,"Bordeaux wine should not have high alcohol; it detracts from the play between fruit and tannins, as in this wine. It is powered by its extracted structure, with flavors of bitter chocolate that leave the fruit behind.",Cuvée Prestige,85,36.0,Bordeaux,Lussac Saint-Émilion,,Roger Voss,@vossroger,Château des Landes 2009 Cuvée Prestige  (Lussac Saint-Émilion),Merlot,Château des Landes,Low
53873,US,"Shows the estate vineyard's signature in the moderate alcohol, sleek, streamlined mouthfeel, bright acidity and intensity of flavor. It's laser-like in lime, mango, honey and vanilla, with minerally overtones that taste of the earth. Drink now, as it is very fine and delicious.",Estate Vineyard,92,44.0,California,Fort Ross-Seaview,Sonoma,,,Failla 2011 Estate Vineyard Chardonnay (Fort Ross-Seaview),Chardonnay,Failla,High
39349,France,"In perfect balance now, this is a great expression of mineral-driven Chardonnay. Its acidity is a vehicle for the crisp flavors of pear and lime, with a hint of ginger. It's still young, so drink it now for its great fruit, or age for four more years.",Spécial Club Chouilly Grand Cru Blanc de Blancs Brut,92,80.0,Champagne,Champagne,,Roger Voss,@vossroger,Roland Champion 2007 Spécial Club Chouilly Grand Cru Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Roland Champion,High
47875,US,"This proprietary combination of 43% Roussanne, 43% Pinot Gris and 14% Viognier is creamy and robust, although it did not spend time in oak. Apple, apricot and an intensity of tart lemon make up the flavor characteristics, the body round and full.",Haley Margaret,86,38.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Cairdean Estate 2012 Haley Margaret White (Napa Valley),White Blend,Cairdean Estate,Low
28911,US,"A smokiness rises to the fore initially in this wine, a toasted oak accent that marks its character. From there, sour cherry and grenadine mix for an earthy celebration of red fruit before this full-bodied wine presents its tannins on the finish.",Owsley Vineyard,87,46.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Sonoma-Cutrer 2012 Owsley Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Sonoma-Cutrer,Low
63025,France,"From a ripe vintage, this soft, generous wine has a good balance between its acidity and its smooth, creamy character. The wine is crisp now and could probably do with some bottle age to bring out its inherent richness. Wait until 2018.",Millésimé Brut,92,95.0,Champagne,Champagne,,Roger Voss,@vossroger,Taittinger 2009 Millésimé Brut  (Champagne),Champagne Blend,Taittinger,High
78293,US,"There's a lot to like in this affordable Syrah. It's rich and smoky, with blackberry and bacon flavors wrapped in a smooth texture. With 17,000 cases produced, this should be relatively easy to find.",Vintner's Collection,87,13.0,California,Central Coast,Central Coast,,,Sterling 2009 Vintner's Collection Syrah (Central Coast),Syrah,Sterling,Low
25508,France,"Equal parts Clairette, Grenache Blanc and Roussanne, this is vinified in a combination of concrete eggs, stainless-steel tanks and oak barrels. Pineapple and melon aromas and flavors dominate this warm, broad wine, picking up a slightly bitter edge on the finish.",Cuvée à Tempo,87,250.0,Rhône Valley,Châteauneuf-du-Pape,,Joe Czerwinski,@JoeCz,Domaine du Pegau 2015 Cuvée à Tempo White (Châteauneuf-du-Pape),Rhône-style White Blend,Domaine du Pegau,Low
61113,US,"A brilliantly complex but rarely done blend, this mix of 58% Cabernet Sauvignon and 42% Petite Sirah shows blueberry donuts, vanilla ice cream, licorice, stewed strawberries and the lightest touch of dill and herbal aromatics on the nose. Gravel, asphalt and elderberry come through on the sip, elevated by white and black pepper. It's still a tad wound up.",Silken Reserve,92,50.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Parrish Family 2013 Silken Reserve Red (Paso Robles),Red Blend,Parrish Family,High
45472,France,"Definite tannins here, a wine that shows ripe fruits, richness and a solid core. It is not huge, but does have structure, bitter chocolate, sweetness. It's worth aging this wine 3–4 years.",Clos du Marquis,91,40.0,Bordeaux,Saint-Julien,,Roger Voss,@vossroger,Château Léoville Las Cases 2007 Clos du Marquis  (Saint-Julien),Bordeaux-style Red Blend,Château Léoville Las Cases,High
75364,US,"This is a seductive and deeply satisfying Pinot Noir, light in rose petal and red cherry notes and yet intense and voluptuous in texture. Part of the winery's 30th anniversary celebration, with the fruit coming from original co-founder Burt Williams' Morning Dew Ranch in Anderson Valley, this is a remarkably polished and balanced wine, with a racy jolt of spiciness on the finish.",30th Anniversary Cuvée Burt Williams' Morning Dew Ranch,97,125.0,California,Anderson Valley,,Virginie Boone,@vboone,Williams Selyem 2010 30th Anniversary Cuvée Burt Williams' Morning Dew Ranch Pinot Noir (Anderson Valley),Pinot Noir,Williams Selyem,High
46489,Italy,"This shows ripe prune and oak aromas and hints of burnt rubber and smoke. The palate shows very ripe black fruit, espresso and a warm midpalate. This wine shows some green notes and finishes with bitter, astringent tannins.",,85,60.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Mauro Molino 2009  Barolo,Nebbiolo,Mauro Molino,Low
68608,Italy,Green apple and ripe pear aromas follow over to the silky off-dry palate along with creamy white peach and a hint of candied nectarine peel. Fresh acidity enlivens the rich flavors.,Extra Dry,87,16.0,Veneto,Prosecco Treviso,,Kerin O’Keefe,@kerinokeefe,Marsuret NV Extra Dry  (Prosecco Treviso),Glera,Marsuret,Low
36804,Italy,This simple and fresh Prosecco Superiore opens with subtle tones of lime and honeydew melon backed by zesty freshness and creamy mousse. It shows nice peach tones on the close.,Millesimato Brut,85,,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Cantina Produttori di Valdobbiadene 2012 Millesimato Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Cantina Produttori di Valdobbiadene,Low
59783,Argentina,"Dry cherry and plum aromas are earthy at first, then more briny and like olive juice. A full body borders on syrupy but is slapped by sharp acidity. Oaky, chocolaty plum and berry flavors taste slightly weedy, while toasty oak and heat make for a tough finish.",,83,13.0,Other,Patagonia,,Michael Schachner,@wineschach,Nieto Senetiner 2014 Pinot Noir (Patagonia),Pinot Noir,Nieto Senetiner,Low
62523,US,"Everything about this Pinot is upfront, but it's beautiful. Softly appealing, with a silky mouthfeel, it offers flattering raspberry and cherry jam flavors, with smoky, sweet, buttery notes. The softness suggests that the wine is not ageable.",Les Pintades,87,60.0,California,Anderson Valley,,,,Jim Ball 2009 Les Pintades Pinot Noir (Anderson Valley),Pinot Noir,Jim Ball,Low
